refid,split,change_ratio,change_level,country,change_type,v1_test
a20-51053210024757_49-95643045434531,val,2.5422,low,POL,Residential,
a18-33617537767885_45-29904769846439,val,2.2706,low,HRV,Agriculture,
a-1-41904953447186_37-91714700412869,val,1.4933,low,ESP,Water and Waste Treatment,
a30-40232650607832_39-78354795392336,val,8.8253,moderate,TUR,Residential,
a19-15395094252762_47-58000484344567,val,21.1911,moderate,HUN,Industry and Manufacturing,
a9-56609244236247_60-22240579711326,val,11.5393,moderate,NOR,Uncertain,
a24-00767421472246_56-09080689008188,val,13.892,moderate,LTU,Agriculture,
a5-58189743758427_50-68127038781711,val,24.6578,moderate,BEL,Industry and Manufacturing,
a27-41029974499428_42-52722439369117,val,8.6576,moderate,BGR,Uncertain,
a15-96543028496907_58-9953742874805,val,19.8912,moderate,SWE,Agriculture,
a18-66751019422631_45-51579981231616,val,14.149,moderate,HRV,Energy Production,
a27-1740246054836_63-61225833620876,val,5.5779,moderate,FIN,Uncertain,
a16-6584240616264_48-73162646766085,val,5.9861,moderate,AUT,Uncertain,
a26-98611900985614_38-72142396596397,val,12.5621,moderate,TUR,Water and Waste Treatment,
a6-60060174716002_46-5717071263202,val,10.1029,moderate,CHE,Agriculture,
a7-662562312313_52-00945336462619,val,13.6316,moderate,DEU,"Transport, Communication Networks, and Logistics",
a17-8214865428287_46-93838082431493,val,8.8009,moderate,HUN,Uncertain,
a22-9581421195935_62-83875067673326,val,26.7467,moderate,FIN,Industry and Manufacturing,
a14-47257389738192_45-99886910411342,val,7.0026,moderate,SVN,"Transport, Communication Networks, and Logistics",
a9-27236257749211_45-08294767924716,val,15.1927,moderate,ITA,"Transport, Communication Networks, and Logistics",
a18-76832162373298_45-27932921589273,val,6.5778,moderate,HRV,Uncertain,
a19-61642924087022_46-84244866131107,val,11.7867,moderate,HUN,Uncertain,
a9-11666147456092_56-00363228260099,val,5.9033,moderate,DNK,Commerce and Services,
a15-27559587589458_48-81546394532176,val,13.7473,moderate,AUT,Industry and Manufacturing,
a36-53163574265847_40-35433561270496,val,34.4135,high,TUR,Residential,
a6-77326182389596_52-30105858291123,val,34.8246,high,NLD,Residential,
a-2-59185730215767_53-11198720241597,test,15.5338,moderate,GBR,Industry and Manufacturing,True
a-4-04049538502545_47-97554982426387,test,9.3704,moderate,FRA,"Transport, Communication Networks, and Logistics",True
a0-07602270798631_51-64536656448906,test,7.4489,moderate,GBR,Residential,True
a10-12336454246305_55-98639522617224,test,43.7514,high,DNK,Residential,True
a10-27896225126639_48-57032226949789,test,4.2771,low,DEU,Residential,True
a12-37059317636502_55-31209813351252,test,11.4472,moderate,DNK,Residential,True
a21-71302299063703_36-93268807246787,test,16.4267,moderate,GRC,"Recreation, Leisure, and Sports",True
a25-31754898314332_46-31474942069217,test,2.2913,low,ROU,Residential,True
a24-20006268627128_59-39751853998121,test,2.1631,low,EST,Agriculture,False
a12-46613619061323_57-24443634830578,test,0.4201,low,SWE,Uncertain,False
a-18-11988722891564_65-68857644789139,test,1.2398,low,ISL,Community Services,False
a14-44884901051691_46-68484489478062,test,3.1145,low,AUT,Uncertain,False
a5-69683832007147_51-27337426771136,test,3.8683,low,NLD,Agriculture,False
a6-31320886818337_45-88462191068728,test,3.1056,low,FRA,Residential,False
a30-78961456092786_51-61005757183885,test,3.4983,low,UKR,Uncertain,False
a5-43152911602821_52-01877434131934,test,4.6023,low,NLD,Residential,False
a4-78479287624872_45-19906465843663,test,0.3967,low,FRA,"Transport, Communication Networks, and Logistics",False
a12-27608837368204_43-06014534700439,test,2.9196,low,ITA,"Transport, Communication Networks, and Logistics",False
a25-49227879769426_54-70483626873595,test,4.6146,low,LTU,Residential,False
a3-28755789400137_50-64539824344691,test,2.9086,low,BEL,Community Services,False
a-8-5996175383852_38-00686096148087,test,3.2818,low,PRT,Agriculture,False
a6-66442386131923_52-50727186128272,test,1.5543,low,NLD,Agriculture,False
a23-88648959567314_61-81463510069493,test,1.6183,low,FIN,Agriculture,False
a13-55277949290061_55-48928074056182,test,7.1216,moderate,SWE,"Transport, Communication Networks, and Logistics",False
a38-69036332739235_37-15698867212367,test,24.6642,moderate,TUR,Energy Production,False
a8-60561971655899_49-25948530712174,test,10.8269,moderate,DEU,Uncertain,False
a-0-84261876000576_52-28383748670937,test,22.5088,moderate,GBR,Community Services,False
a17-49808239995093_47-97076685662877,test,9.1762,moderate,SVK,Industry and Manufacturing,False
a0-25914391012373_52-41062988926688,test,19.7333,moderate,GBR,Residential,False
a-1-18139547412802_52-25772329329998,test,14.1579,moderate,GBR,Commerce and Services,False
a1-53175373264337_41-26391969128805,test,19.5534,moderate,ESP,"Transport, Communication Networks, and Logistics",False
a32-69085783675902_40-17923143394696,test,7.809,moderate,TUR,"Transport, Communication Networks, and Logistics",False
a30-45508230592327_50-3193459454582,test,12.9191,moderate,UKR,Uncertain,False
a5-69863128004571_58-81605000975082,test,16.0682,moderate,NOR,Uncertain,False
a26-43674069691248_59-32435452943975,test,5.2126,moderate,EST,Uncertain,False
a22-88640403274545_40-97340366449905,test,12.7619,moderate,GRC,Uncertain,False
a7-17177213602975_53-35864710144777,test,9.7248,moderate,DEU,Commerce and Services,False
a9-85232667418204_52-25168450091463,test,5.9701,moderate,DEU,Uncertain,False
a0-17451673427384_52-65135035939731,test,13.9556,moderate,GBR,Residential,False
a21-6663749723164_40-41503995559737,test,15.2456,moderate,GRC,Uncertain,False
a36-20092192322463_49-90999425534982,test,7.0047,moderate,UKR,Uncertain,False
a-7-6747727041517_53-60364246241342,test,5.0145,moderate,IRL,Agriculture,False
a27-9364000673535_41-24133449388484,test,12.8926,moderate,TUR,Industry and Manufacturing,False
a32-11093275104467_39-57989764020625,test,20.705,moderate,TUR,Residential,False
a-3-82567804883019_40-09254102374404,test,43.3969,high,ESP,Commerce and Services,False
a20-12721207130646_47-13650350167995,test,35.8044,high,HUN,Industry and Manufacturing,False
