refid,split,change_ratio,change_level,full_window,startYear,endYear,country,change_type
a35-3630047622628_39-51025219841001,train,7.725,moderate,True,2018,2024,TUR,Residential
a5-69863128004571_58-81605000975082,train,16.0682,moderate,True,2018,2025,NOR,Uncertain
a16-23956602676228_45-94541698989293,train,5.6317,moderate,True,2018,2024,HRV,Uncertain
a16-6584240616264_48-73162646766085,train,5.9861,moderate,True,2017,2025,AUT,Uncertain
a-8-7250406009344_41-45175558225651,train,20.5188,moderate,True,2018,2025,PRT,"Transport, Communication Networks, and Logistics"
a32-11093275104467_39-57989764020625,train,20.705,moderate,True,2018,2024,TUR,Residential
a36-14615320951568_37-07401418439726,train,11.9361,moderate,True,2018,2024,TUR,Residential
a16-24820990125578_48-38435969781316,train,6.0424,moderate,True,2018,2024,AUT,"Transport, Communication Networks, and Logistics"
a5-66409220777105_51-66192565878978,train,13.2315,moderate,True,2018,2025,NLD,Commerce and Services
a-8-40240604520935_40-93829700851144,train,7.7668,moderate,True,2018,2025,PRT,"Transport, Communication Networks, and Logistics"
a38-69036332739235_37-15698867212367,train,24.6642,moderate,True,2017,2024,TUR,Energy Production
a-6-00483649634729_43-54055750803159,train,12.6745,moderate,True,2017,2025,ESP,Uncertain
a18-66751019422631_45-51579981231616,train,14.149,moderate,True,2018,2024,HRV,Energy Production
a21-21267111059229_45-79370720284675,train,21.3509,moderate,True,2017,2024,ROU,Commerce and Services
a12-88877354203338_55-87390927566725,train,18.2315,moderate,True,2018,2024,SWE,"Transport, Communication Networks, and Logistics"
a19-61642924087022_46-84244866131107,train,11.7867,moderate,True,2017,2025,HUN,Uncertain
a17-21815870461582_48-14834620277097,train,10.4335,moderate,True,2018,2025,SVK,Residential
a-6-53797725923809_53-84911799426187,train,10.5777,moderate,True,2018,2024,IRL,Uncertain
a6-60060174716002_46-5717071263202,train,10.1029,moderate,True,2018,2024,CHE,Agriculture
a16-08699897668672_53-45325239406315,train,11.7658,moderate,True,2018,2025,POL,Uncertain
a14-3231802597412_46-26614816972087,train,11.1089,moderate,True,2018,2025,SVN,Commerce and Services
a5-17007097143491_51-69528151655165,train,10.7717,moderate,True,2018,2025,NLD,Uncertain
a15-67279100079838_48-48032088109964,train,9.8988,moderate,True,2017,2024,AUT,Residential
a24-34041727116894_57-09974939549575,train,7.4187,moderate,True,2018,2024,LVA,Residential
a1-53175373264337_41-26391969128805,train,19.5534,moderate,True,2018,2025,ESP,"Transport, Communication Networks, and Logistics"
a15-3125793476379_45-87926193118759,train,20.8094,moderate,True,2017,2024,SVN,Industry and Manufacturing
a-1-71820674589767_52-42514570080691,train,13.8978,moderate,True,2018,2025,GBR,"Transport, Communication Networks, and Logistics"
a13-55277949290061_55-48928074056182,train,7.1216,moderate,True,2018,2025,SWE,"Transport, Communication Networks, and Logistics"
a17-65049600024085_48-99545618125751,train,9.4202,moderate,True,2016,2025,CZE,Uncertain
a-7-6747727041517_53-60364246241342,train,5.0145,moderate,True,2017,2024,IRL,Agriculture
a40-04120521705572_36-87261815095685,train,10.9246,moderate,True,2018,2024,TUR,Residential
a-6-27279030754873_53-4325815984102,train,14.9242,moderate,True,2016,2025,IRL,"Transport, Communication Networks, and Logistics"
a9-27236257749211_45-08294767924716,train,15.1927,moderate,True,2018,2024,ITA,"Transport, Communication Networks, and Logistics"
a17-49808239995093_47-97076685662877,train,9.1762,moderate,True,2018,2024,SVK,Industry and Manufacturing
a9-01237199147014_60-54107131923332,train,25.438,moderate,True,2018,2024,NOR,Residential
a25-75525729261775_45-64371757805646,train,7.4828,moderate,True,2018,2024,ROU,Agriculture
a9-85232667418204_52-25168450091463,train,5.9701,moderate,True,2018,2024,DEU,Uncertain
a24-84522499951122_42-03992940928746,train,20.2038,moderate,True,2018,2024,BGR,Uncertain
a18-76832162373298_45-27932921589273,train,6.5778,moderate,True,2018,2024,HRV,Uncertain
a21-96260128697104_46-99675577206067,train,20.1214,moderate,True,2018,2025,ROU,Residential
a5-11228930407312_51-05585200611895,train,18.0718,moderate,True,2018,2024,BEL,Commerce and Services
a20-62963149779467_52-12120314569297,train,19.68,moderate,True,2018,2024,POL,"Transport, Communication Networks, and Logistics"
a30-65762206856974_38-80090464027149,train,22.5151,moderate,True,2017,2025,TUR,Commerce and Services
a28-59634792217955_44-21454720185186,train,13.4583,moderate,True,2018,2025,ROU,Residential
a9-56609244236247_60-22240579711326,train,11.5393,moderate,True,2018,2025,NOR,Uncertain
a9-65832672038043_55-53465785613748,train,35.9546,high,True,2018,2024,DNK,"Transport, Communication Networks, and Logistics"
a6-77326182389596_52-30105858291123,train,34.8246,high,True,2018,2025,NLD,Residential
a-0-47134313698222_52-09242527089813,train,36.4089,high,True,2018,2025,GBR,Industry and Manufacturing
a4-81102014764822_52-86078226165274,train,33.7631,high,True,2018,2025,NLD,Residential
a18-43358019326252_54-44698516294497,train,37.1022,high,True,2018,2025,POL,"Transport, Communication Networks, and Logistics"
a-2-52025858362194_53-72050616794933,train,47.2255,high,True,2018,2024,GBR,Residential
a-0-97187067835583_52-12078788011635,train,38.1579,high,True,2017,2025,GBR,Residential
a9-84650096942698_56-8914796553378,train,42.9494,high,True,2018,2025,DNK,"Transport, Communication Networks, and Logistics"
a16-43884377929237_47-95806955265211,train,30.1558,high,True,2018,2024,AUT,Commerce and Services
a-6-97462937889053_53-63384493473035,val,0.9907,low,True,2018,2024,IRL,"Transport, Communication Networks, and Logistics"
a3-66896455014147_50-49894876337167,val,1.7264,low,True,2018,2025,BEL,"Transport, Communication Networks, and Logistics"
a27-95773801630337_44-04857019043383,val,0.9689,low,True,2017,2024,ROU,Uncertain
a26-08539790003425_43-85740625500752,val,1.6183,low,True,2018,2024,BGR,"Transport, Communication Networks, and Logistics"
a20-51053210024757_49-95643045434531,val,2.5422,low,True,2018,2024,POL,Residential
a4-80334905149021_52-66402425709741,val,0.8927,low,True,2018,2024,NLD,Residential
a12-27608837368204_43-06014534700439,val,2.9196,low,True,2018,2025,ITA,"Transport, Communication Networks, and Logistics"
a20-1202303690376_63-98799748330785,val,4.8658,low,True,2018,2024,SWE,"Transport, Communication Networks, and Logistics"
a8-55857187094528_58-33752483124721,val,15.2489,moderate,True,2018,2024,NOR,Uncertain
a17-8214865428287_46-93838082431493,val,8.8009,moderate,True,2018,2024,HUN,Uncertain
a26-43674069691248_59-32435452943975,val,5.2126,moderate,True,2018,2025,EST,Uncertain
a21-43043997866652_38-08072104277537,val,8.96,moderate,True,2018,2025,GRC,Agriculture
a7-53578688874846_51-04360681454464,val,16.6562,moderate,True,2018,2024,DEU,Uncertain
a26-040070508867_45-95719246129747,val,9.053,moderate,True,2017,2024,ROU,Uncertain
a16-28161007995402_46-08909276844217,val,8.1431,moderate,True,2017,2025,HRV,Industry and Manufacturing
a9-11666147456092_56-00363228260099,val,5.9033,moderate,True,2018,2024,DNK,Commerce and Services
a27-41029974499428_42-52722439369117,val,8.6576,moderate,True,2018,2025,BGR,Uncertain
a30-40232650607832_39-78354795392336,val,8.8253,moderate,True,2018,2025,TUR,Residential
a5-8552647044621_61-45583119812181,val,15.9492,moderate,True,2016,2025,NOR,"Transport, Communication Networks, and Logistics"
a17-63253602092586_47-9720597521916,val,7.4123,moderate,True,2018,2024,SVK,Residential
a16-21017833942676_47-79103608025213,val,10.7306,moderate,True,2018,2024,AUT,"Transport, Communication Networks, and Logistics"
a-0-84261876000576_52-28383748670937,val,22.5088,moderate,True,2018,2025,GBR,Community Services
a4-63523450914143_51-75228829204871,val,53.4418,high,True,2016,2025,NLD,"Transport, Communication Networks, and Logistics"
a9-42409872737389_45-27118044929093,val,33.3482,high,True,2018,2024,ITA,"Transport, Communication Networks, and Logistics"
a18-72533691028657_49-1842950075387,test,2.3111,low,True,2018,2024,SVK,Residential
a8-83576400027938_53-18283989914372,test,0.3731,low,True,2016,2025,DEU,Residential
a19-55345246514126_47-56048768054758,test,1.5644,low,True,2017,2024,HUN,"Transport, Communication Networks, and Logistics"
a-8-56045957777664_40-80940340027942,test,1.6253,low,True,2018,2024,PRT,Residential
a3-28755789400137_50-64539824344691,test,2.9086,low,True,2018,2025,BEL,Community Services
a17-06540959971633_52-3741174425591,test,3.6405,low,True,2018,2024,POL,"Recreation, Leisure, and Sports"
a24-36603769871882_45-12779807771178,test,1.9892,low,True,2018,2024,ROU,Community Services
a6-53272656603823_46-52411297528171,test,4.1798,low,True,2018,2025,CHE,Residential
a27-24891473648757_44-09709309761551,test,0.25,low,True,2018,2025,BGR,Residential
a23-76374323145974_54-84666889788553,test,8.364,moderate,True,2018,2024,LTU,Uncertain
a14-66993426151833_37-02840704488418,test,19.7778,moderate,True,2018,2025,ITA,Uncertain
a-1-18139547412802_52-25772329329998,test,14.1579,moderate,True,2018,2025,GBR,Commerce and Services
a15-23542713472301_44-13804504255038,test,19.2422,moderate,True,2018,2025,HRV,Residential
a8-59953812675902_58-41512846247853,test,5.293,moderate,True,2018,2024,NOR,"Transport, Communication Networks, and Logistics"
a5-09083297195579_52-64196941413523,test,7.0423,moderate,True,2018,2025,NLD,Industry and Manufacturing
a8-60561971655899_49-25948530712174,test,10.8269,moderate,True,2018,2025,DEU,Uncertain
a7-662562312313_52-00945336462619,test,13.6316,moderate,True,2018,2025,DEU,"Transport, Communication Networks, and Logistics"
a14-47257389738192_45-99886910411342,test,7.0026,moderate,True,2018,2025,SVN,"Transport, Communication Networks, and Logistics"
a27-9364000673535_41-24133449388484,test,12.8926,moderate,True,2018,2025,TUR,Industry and Manufacturing
a4-00159245754781_51-08188112021718,test,9.3171,moderate,True,2018,2025,BEL,Commerce and Services
a11-32287274494765_63-74479353457964,test,5.23,moderate,True,2018,2025,NOR,Community Services
a9-74529093239942_48-51559318456809,test,5.391,moderate,True,2018,2025,DEU,"Transport, Communication Networks, and Logistics"
a22-9581421195935_62-83875067673326,test,26.7467,moderate,True,2018,2025,FIN,Industry and Manufacturing
a10-12336454246305_55-98639522617224,test,43.7514,high,True,2018,2024,DNK,Residential
a36-53163574265847_40-35433561270496,test,34.4135,high,True,2018,2024,TUR,Residential
a25-36967669794409_57-97943731422228,train,0.5313,low,False,2017,2023,LVA,Agriculture
a33-01601359523483_39-55366220895914,train,3.3069,low,False,2017,2023,TUR,"Transport, Communication Networks, and Logistics"
a22-56998252086449_40-02929503180037,train,0.71,low,False,2017,2023,GRC,Uncertain
a4-78479287624872_45-19906465843663,train,0.3967,low,False,2018,2023,FRA,"Transport, Communication Networks, and Logistics"
a-8-5996175383852_38-00686096148087,train,3.2818,low,False,2019,2023,PRT,Agriculture
a-7-31845978294083_52-63909445252201,train,0.5335,low,False,2019,2024,IRL,Residential
a19-50068268845749_49-0597971065496,train,4.3733,low,False,2018,2023,SVK,Residential
a22-40339823415017_62-73543996621351,train,1.8248,low,False,2019,2022,FIN,Uncertain
a23-12454972168644_39-31313345844998,train,0.6664,low,False,2016,2023,GRC,"Transport, Communication Networks, and Logistics"
a-8-71912866538231_37-59163718355473,train,4.0475,low,False,2018,2023,PRT,Uncertain
a5-28295740363469_50-80241396701574,train,0.4959,low,False,2018,2023,BEL,Commerce and Services
a-8-86453951262951_52-28211318133327,train,0.6625,low,False,2018,2023,IRL,Residential
a16-20907116757617_38-78426433248338,train,3.6699,low,False,2017,2023,ITA,Agriculture
a23-57259921102445_43-24040669050581,train,2.0745,low,False,2017,2023,BGR,"Transport, Communication Networks, and Logistics"
a22-51154529311813_56-17659989495793,train,0.8991,low,False,2018,2023,LTU,Agriculture
a25-31754898314332_46-31474942069217,train,2.2913,low,False,2018,2023,ROU,Residential
a1-1906226365844_47-92332259680467,train,0.4504,low,False,2019,2025,FRA,"Transport, Communication Networks, and Logistics"
a39-26949131085085_41-01550472139592,train,0.7138,low,False,2018,2023,TUR,Residential
a10-00941761159611_54-18248855104294,train,3.3415,low,False,2016,2023,DEU,Residential
a37-6228530499554_40-70819774165013,train,4.7735,low,False,2017,2023,TUR,Uncertain
a30-78961456092786_51-61005757183885,train,3.4983,low,False,2016,2022,UKR,Uncertain
a15-5230955447233_48-79543698940313,train,3.5906,low,False,2017,2022,AUT,Energy Production
a24-20006268627128_59-39751853998121,train,2.1631,low,False,2018,2023,EST,Agriculture
a6-31320886818337_45-88462191068728,train,3.1056,low,False,2017,2023,FRA,Residential
a33-86003978707835_36-73134793425821,train,2.8177,low,False,2018,2023,TUR,Residential
a9-73415351015821_47-85711641511046,train,2.4282,low,False,2019,2024,DEU,Agriculture
a6-66442386131923_52-50727186128272,train,1.5543,low,False,2018,2023,NLD,Agriculture
a-2-50892206729078_47-79563952733903,train,1.889,low,False,2016,2023,FRA,Residential
a4-04541498665052_48-27085473352302,train,2.543,low,False,2018,2023,FRA,Uncertain
a37-48699251732178_40-96134738205864,train,1.785,low,False,2018,2023,TUR,Uncertain
a4-14192226976871_51-42686339376777,train,3.8484,low,False,2018,2023,NLD,Uncertain
a16-85516230134469_59-93763743099731,train,6.5866,moderate,False,2019,2025,SWE,"Recreation, Leisure, and Sports"
a27-1740246054836_63-61225833620876,train,5.5779,moderate,False,2018,2023,FIN,Uncertain
a22-88640403274545_40-97340366449905,train,12.7619,moderate,False,2017,2023,GRC,Uncertain
a12-37059317636502_55-31209813351252,train,11.4472,moderate,False,2018,2023,DNK,Residential
a18-84118523516349_63-23506400812931,train,12.0178,moderate,False,2018,2023,SWE,Residential
a7-17177213602975_53-35864710144777,train,9.7248,moderate,False,2018,2023,DEU,Commerce and Services
a30-19386286925374_50-47644656697543,train,10.974,moderate,False,2018,2022,UKR,Uncertain
a-4-04049538502545_47-97554982426387,train,9.3704,moderate,False,2017,2023,FRA,"Transport, Communication Networks, and Logistics"
a11-46857408714585_58-38868205588187,train,6.3222,moderate,False,2016,2023,SWE,Uncertain
a7-02591710464096_62-85643393649961,train,12.329,moderate,False,2018,2023,NOR,Mining and Quarrying
a15-52945460985346_46-8145372650273,train,15.7905,moderate,False,2019,2024,AUT,"Transport, Communication Networks, and Logistics"
a23-24251456165358_43-41966452912967,train,8.1127,moderate,False,2018,2023,BGR,Uncertain
a-2-22932139889146_56-95862408026678,train,8.9897,moderate,False,2016,2023,GBR,Uncertain
a3-13492672240259_50-80031986527516,train,9.3263,moderate,False,2018,2023,BEL,Residential
a-21-18499650616551_63-98950456720672,train,7.717,moderate,False,2018,2023,ISL,"Transport, Communication Networks, and Logistics"
a-8-19813509533539_41-63652669165629,train,5.3602,moderate,False,2018,2023,PRT,Uncertain
a21-71302299063703_36-93268807246787,train,16.4267,moderate,False,2017,2023,GRC,"Recreation, Leisure, and Sports"
a-7-50568154353705_38-82665228522418,train,14.6117,moderate,False,2018,2023,PRT,Industry and Manufacturing
a19-85295080204185_47-52784534570653,train,6.0089,moderate,False,2018,2023,HUN,Agriculture
a24-00767421472246_56-09080689008188,train,13.892,moderate,False,2017,2023,LTU,Agriculture
a36-20092192322463_49-90999425534982,train,7.0047,moderate,False,2016,2022,UKR,Uncertain
a26-20584677927578_47-61232020126451,train,10.0633,moderate,False,2017,2022,ROU,Uncertain
a-8-19978619373512_40-39060133214248,train,19.4093,moderate,False,2018,2023,PRT,Commerce and Services
a5-58189743758427_50-68127038781711,train,24.6578,moderate,False,2016,2023,BEL,Industry and Manufacturing
a0-17451673427384_52-65135035939731,train,13.9556,moderate,False,2018,2023,GBR,Residential
a30-45508230592327_50-3193459454582,train,12.9191,moderate,False,2018,2023,UKR,Uncertain
a12-77039004735471_41-58543580125914,train,12.1823,moderate,False,2018,2023,ITA,Agriculture
a2-98534050824779_39-37939172240195,train,7.8387,moderate,False,2016,2023,ESP,Residential
a0-6941135513559_49-61269109310156,train,6.8978,moderate,False,2016,2023,FRA,Residential
a8-52861870737536_58-9233509732679,train,7.8975,moderate,False,2019,2023,NOR,"Transport, Communication Networks, and Logistics"
a7-79486221286826_47-40456423379025,train,9.4308,moderate,False,2018,2022,CHE,Mining and Quarrying
a24-2428040669578_55-3769790372124,train,13.5555,moderate,False,2018,2023,LTU,Agriculture
a9-46006269337266_42-77182162080771,train,9.0666,moderate,False,2017,2023,FRA,Uncertain
a6-5804358545851_52-51406658525929,train,5.2381,moderate,False,2018,2023,NLD,Residential
a3-43422023388386_50-56800222591682,train,13.0794,moderate,False,2018,2023,BEL,Industry and Manufacturing
a20-12721207130646_47-13650350167995,train,35.8044,high,False,2017,2023,HUN,Industry and Manufacturing
a21-42494870049343_48-68561021487365,val,4.1322,low,False,2018,2022,SVK,Uncertain
a-18-11988722891564_65-68857644789139,val,1.2398,low,False,2016,2022,ISL,Community Services
a23-88648959567314_61-81463510069493,val,1.6183,low,False,2018,2023,FIN,Agriculture
a12-90468014327417_49-06813500850476,val,3.4657,low,False,2019,2022,DEU,Residential
a9-02520032438762_59-69423203010084,val,4.6507,low,False,2019,2023,NOR,Residential
a23-16109510230296_56-48437623422114,val,0.5193,low,False,2018,2023,LVA,Agriculture
a3-27080889899288_50-87987570748427,val,2.4207,low,False,2018,2023,BEL,Agriculture
a26-98611900985614_38-72142396596397,val,12.5621,moderate,False,2018,2023,TUR,Water and Waste Treatment
a-1-58467935875357_47-05443474717619,val,9.9825,moderate,False,2018,2023,FRA,Agriculture
a2-98945183051191_39-36914899119555,val,8.6822,moderate,False,2016,2023,ESP,"Transport, Communication Networks, and Logistics"
a0-25914391012373_52-41062988926688,val,19.7333,moderate,False,2018,2023,GBR,Residential
a27-12742131892453_41-73980351634908,val,14.7943,moderate,False,2017,2023,TUR,Industry and Manufacturing
a9-23292230820869_60-99545534503746,val,13.2353,moderate,False,2018,2022,NOR,Residential
a2-36291902506899_49-18951935490868,val,19.3845,moderate,False,2018,2023,FRA,Water and Waste Treatment
a23-30611049423583_56-62185317869918,val,11.4245,moderate,False,2018,2023,LVA,Industry and Manufacturing
a-2-17104025185075_39-66195264271502,test,0.5368,low,False,2019,2023,ESP,Agriculture
a24-64452762542151_42-44276530155928,test,1.8905,low,False,2019,2024,BGR,Uncertain
a21-86743092402196_55-9444645366206,test,1.7035,low,False,2017,2022,LTU,Uncertain
a21-59282830417349_39-40298103621579,test,0.9244,low,False,2018,2023,GRC,Uncertain
a22-71951401255521_63-76845848375675,test,2.4001,low,False,2018,2022,FIN,Residential
a-1-41904953447186_37-91714700412869,test,1.4933,low,False,2017,2023,ESP,Water and Waste Treatment
a-21-0584275580337_63-91228165877032,test,0.5927,low,False,2016,2023,ISL,Residential
a-18-03071366712101_65-66474845645646,test,7.0257,moderate,False,2016,2023,ISL,Residential
a22-03234382362865_37-98131146771407,test,5.6623,moderate,False,2017,2022,GRC,Agriculture
a15-27559587589458_48-81546394532176,test,13.7473,moderate,False,2017,2022,AUT,Industry and Manufacturing
a14-6191477364502_49-89061589075885,test,6.3479,moderate,False,2018,2023,CZE,"Transport, Communication Networks, and Logistics"
a19-27541274825476_49-24370912159996,test,6.8444,moderate,False,2016,2022,SVK,Residential
a-1-34144867248374_47-02619422462487,test,6.7544,moderate,False,2017,2023,FRA,Agriculture
a-2-59185730215767_53-11198720241597,test,15.5338,moderate,False,2018,2023,GBR,Industry and Manufacturing
a-3-82567804883019_40-09254102374404,test,43.3969,high,False,2016,2023,ESP,Commerce and Services
