refid,split,change_ratio,change_level,country,change_type,v1_test
a27-41029974499428_42-52722439369117,val,8.6576,moderate,BGR,Uncertain,
a21-6663749723164_40-41503995559737,val,15.2456,moderate,GRC,Uncertain,
a7-662562312313_52-00945336462619,val,13.6316,moderate,DEU,"Transport, Communication Networks, and Logistics",
a26-43674069691248_59-32435452943975,val,5.2126,moderate,EST,Uncertain,
a16-6584240616264_48-73162646766085,val,5.9861,moderate,AUT,Uncertain,
a9-27236257749211_45-08294767924716,val,15.1927,moderate,ITA,"Transport, Communication Networks, and Logistics",
a27-9364000673535_41-24133449388484,val,12.8926,moderate,TUR,Industry and Manufacturing,
a30-65762206856974_38-80090464027149,val,22.5151,moderate,TUR,Commerce and Services,
a6-60060174716002_46-5717071263202,val,10.1029,moderate,CHE,Agriculture,
a17-65049600024085_48-99545618125751,val,9.4202,moderate,CZE,Uncertain,
a16-23956602676228_45-94541698989293,val,5.6317,moderate,HRV,Uncertain,
a18-43358019326252_54-44698516294497,val,37.1022,high,POL,"Transport, Communication Networks, and Logistics",
a4-81102014764822_52-86078226165274,val,33.7631,high,NLD,Residential,
a0-07602270798631_51-64536656448906,test,7.4489,moderate,GBR,Residential,True
a10-12336454246305_55-98639522617224,test,43.7514,high,DNK,Residential,True
a10-27896225126639_48-57032226949789,test,4.2771,low,DEU,Residential,True
a19-00559082371438_52-0634510634141,test,3.04,low,POL,Uncertain,False
a8-83576400027938_53-18283989914372,test,0.3731,low,DEU,Residential,False
a2-58896497299867_42-66375639844479,test,3.7906,low,FRA,Agriculture,False
a-8-56045957777664_40-80940340027942,test,1.6253,low,PRT,Residential,False
a3-66896455014147_50-49894876337167,test,1.7264,low,BEL,"Transport, Communication Networks, and Logistics",False
a17-99262666374421_48-88721480964941,test,4.5037,low,SVK,Agriculture,False
a24-62502697948046_43-39589019191298,test,3.0906,low,BGR,Uncertain,False
a7-08964608734413_62-36958777608737,test,1.041,low,NOR,Mining and Quarrying,False
a27-95773801630337_44-04857019043383,test,0.9689,low,ROU,Uncertain,False
a-0-84261876000576_52-28383748670937,test,22.5088,moderate,GBR,Community Services,False
a24-34041727116894_57-09974939549575,test,7.4187,moderate,LVA,Residential,False
a14-90198581909847_46-54481380377602,test,6.5662,moderate,SVN,Industry and Manufacturing,False
a-1-18139547412802_52-25772329329998,test,14.1579,moderate,GBR,Commerce and Services,False
a15-3125793476379_45-87926193118759,test,20.8094,moderate,SVN,Industry and Manufacturing,False
a8-60561971655899_49-25948530712174,test,10.8269,moderate,DEU,Uncertain,False
a5-11228930407312_51-05585200611895,test,18.0718,moderate,BEL,Commerce and Services,False
a9-01237199147014_60-54107131923332,test,25.438,moderate,NOR,Residential,False
a8-03256451955557_53-1190341198854,test,7.0993,moderate,DEU,"Transport, Communication Networks, and Logistics",False
a14-66993426151833_37-02840704488418,test,19.7778,moderate,ITA,Uncertain,False
a28-59634792217955_44-21454720185186,test,13.4583,moderate,ROU,Residential,False
a4-83774516957964_45-81113137577614,test,6.9827,moderate,FRA,Residential,False
a11-377756363169_45-39326226417903,test,18.1917,moderate,ITA,Uncertain,False
a23-76374323145974_54-84666889788553,test,8.364,moderate,LTU,Uncertain,False
a16-43884377929237_47-95806955265211,test,30.1558,high,AUT,Commerce and Services,False
a4-63523450914143_51-75228829204871,test,53.4418,high,NLD,"Transport, Communication Networks, and Logistics",False
